gait_percentage,F_x_prime,F_y_prime,F_abs,CoP_xp,CoP_yp
59.3718338399189,-10.7517588772545,77.4271193060377,78.1700653894188,92.2066838225282,-2.09223766629924
60.8915906788247,-9.30321536248452,71.552918025079,72.155179259596,102.792461318632,-1.53944667255089
62.3100303951368,-8.28156571308012,67.4257632271317,67.9324508421512,116.193949500481,-0.816149177329834
63.7284701114488,-7.80637268497566,65.2585186392285,65.7237682234004,127.510972259807,-0.0441968164105049
65.1469098277609,-8.00222393724365,64.7331488484748,65.2258855653228,135.346000803364,0.741664705745308
66.6666666666667,-8.5673710342439,65.4235108808209,65.9820856173196,141.873032463207,1.56609696180186
68.0851063829787,-9.14954737794079,66.8862989647273,67.5091934955533,147.083094377886,2.50266822131096
69.5035460992908,-9.27140131973874,68.865463309224,69.4867679434418,151.89422149071,3.2179928109075
71.0233029381966,-8.922687361577,71.4573834397572,72.0123044889478,160.377651034586,4.27189052162146
72.4417426545086,-8.61532514915258,74.8274882838463,75.3218217404145,169.664154533554,5.50678367236975
73.8601823708207,-8.72942831850675,78.8303859476838,79.3122479030113,163.085119276577,5.19267470043138
75.3799392097264,-9.21047188807227,83.2782204903988,83.7860059941303,173.544852185403,6.95300510188304
76.7983789260385,-9.9959023394618,88.2744717696044,88.8386201478993,176.433540995621,7.88071137312471
78.2168186423506,-10.8366556659684,93.7191011866045,94.3435373157472,179.432197675623,8.70956010922401
79.6352583586626,-11.5780437184334,98.9682448708214,99.6431863659368,182.788192973471,9.3902347943494
81.1550151975684,-12.4692557798759,103.452452496129,104.201210488016,186.201095327426,10.2005930644663
82.5734549138804,-14.2601127865707,106.901883818052,107.84879962491,189.816207367878,11.5510787580441
83.9918946301925,-17.048280139556,109.060907542676,110.385349615557,192.534576542818,13.2908553328102
85.5116514690983,-20.7677508513429,109.332252254842,111.287199886329,195.892825953546,16.4125177816673
86.9300911854103,-25.0584996881957,106.9510862132,109.84745444846,198.56886990109,20.3814598643913
88.3485309017224,-29.3652374352962,101.324011435866,105.493471187021,200.342956114864,24.9034121187755
89.8682877406282,-32.7992784897411,91.9354310518661,97.6110452363872,201.044992146617,29.2638195177398
91.2867274569402,-34.376616258744,78.5863654406808,85.776270486523,200.782974918539,32.7494577491185
92.7051671732523,-33.3072761711269,62.0717610151298,70.4434394493845,199.249965165517,34.3630816653628
94.1236068895643,-29.2277137021742,44.3992509151912,53.15592845663,199.042786595548,34.8564069330037
95.6433637284701,-22.6712876625232,28.1863345711312,36.1725965453494,200.365424601203,32.892197013575
97.0618034447822,-14.8447485036242,15.2362777861856,21.2722993330215,203.931042246174,27.736258009852
98.4802431610942,-6.44165972350799,5.76340754416401,8.64360147817978,209.707897151409,18.1785002773681
100,0,0,0,0,0
101.418439716312,0,0,0,0,0
102.836879432624,0,0,0,0,0
104.35663627153,0,0,0,0,0
105.775075987842,0,0,0,0,0
107.193515704154,0,0,0,0,0
108.611955420466,0,0,0,0,0
110.131712259372,0,0,0,0,0
111.550151975684,0,0,0,0,0
112.968591691996,0,0,0,0,0
114.488348530902,0,0,0,0,0
115.906788247214,0,0,0,0,0
117.325227963526,0,0,0,0,0
118.844984802432,0,0,0,0,0
120.263424518744,0,0,0,0,0
121.681864235056,0,0,0,0,0
123.100303951368,0,0,0,0,0
124.620060790274,0,0,0,0,0
126.038500506586,0,0,0,0,0
127.456940222898,0,0,0,0,0
128.976697061803,0,0,0,0,0
130.395136778115,0,0,0,0,0
131.813576494428,0,0,0,0,0
133.333333333333,0,0,0,0,0
134.751773049645,0,0,0,0,0
136.170212765957,0,0,0,0,0
137.58865248227,0,0,0,0,0
139.108409321175,0,0,0,0,0
140.526849037487,0,0,0,0,0
141.945288753799,0,0,0,0,0
143.465045592705,0,0,0,0,0
144.883485309017,0,0,0,0,0
146.301925025329,0,0,0,0,0
147.821681864235,0,0,0,0,0
149.240121580547,0,0,0,0,0
150.658561296859,0,0,0,0,0
152.077001013171,0,0,0,0,0
